employee_id,score,pillar_code,year
EMP100000,2,GDR,2021
EMP100001,,GDR,2021
EMP100002,1,GDR,2021
EMP100003,,GDR,2021
EMP100004,3,GDR,2021
EMP100005,2,GDR,2021
EMP100006,4,GDR,2021
EMP100007,4,GDR,2021
EMP100008,5,GDR,2021
EMP100009,4,GDR,2021
EMP100010,2,GDR,2021
EMP100011,3,GDR,2021
EMP100012,,GDR,2021
EMP100013,,GDR,2021
EMP100014,1,GDR,2021
EMP100015,2,GDR,2021
EMP100016,2,GDR,2021
EMP100017,3,GDR,2021
EMP100018,3,GDR,2021
EMP100019,4,GDR,2021
EMP100020,,GDR,2021
EMP100021,5,GDR,2021
EMP100022,4,GDR,2021
EMP100023,3,GDR,2021
EMP100024,3,GDR,2021
EMP100025,,GDR,2021
EMP100026,,GDR,2021
EMP100027,5,GDR,2021
EMP100028,,GDR,2021
EMP100029,3,GDR,2021
EMP100030,1,GDR,2021
EMP100031,,GDR,2021
EMP100032,2,GDR,2021
EMP100033,2,GDR,2021
EMP100034,4,GDR,2021
EMP100035,3,GDR,2021
EMP100036,3,GDR,2021
EMP100037,2,GDR,2021
EMP100038,4,GDR,2021
EMP100039,4,GDR,2021
EMP100040,1,GDR,2021
EMP100041,1,GDR,2021
EMP100042,1,GDR,2021
EMP100043,5,GDR,2021
EMP100044,,GDR,2021
EMP100045,2,GDR,2021
EMP100046,3,GDR,2021
EMP100047,3,GDR,2021
EMP100048,2,GDR,2021
EMP100049,5,GDR,2021
EMP100050,2,GDR,2021
EMP100051,4,GDR,2021
EMP100052,,GDR,2021
EMP100053,5,GDR,2021
EMP100054,,GDR,2021
EMP100055,5,GDR,2021
EMP100056,5,GDR,2021
EMP100057,,GDR,2021
EMP100058,4,GDR,2021
EMP100059,1,GDR,2021
EMP100060,3,GDR,2021
EMP100061,2,GDR,2021
EMP100062,3,GDR,2021
EMP100063,5,GDR,2021
EMP100064,4,GDR,2021
EMP100065,4,GDR,2021
EMP100066,3,GDR,2021
EMP100067,,GDR,2021
EMP100068,2,GDR,2021
EMP100069,2,GDR,2021
EMP100070,4,GDR,2021
EMP100071,3,GDR,2021
EMP100072,1,GDR,2021
EMP100073,2,GDR,2021
EMP100074,5,GDR,2021
EMP100075,3,GDR,2021
EMP100076,,GDR,2021
EMP100077,2,GDR,2021
EMP100078,5,GDR,2021
EMP100079,,GDR,2021
EMP100080,4,GDR,2021
EMP100081,4,GDR,2021
EMP100082,4,GDR,2021
EMP100083,,GDR,2021
EMP100084,,GDR,2021
EMP100085,,GDR,2021
EMP100086,,GDR,2021
EMP100087,,GDR,2021
EMP100088,4,GDR,2021
EMP100089,4,GDR,2021
EMP100090,4,GDR,2021
EMP100091,,GDR,2021
EMP100092,3,GDR,2021
EMP100093,1,GDR,2021
EMP100094,1,GDR,2021
EMP100095,2,GDR,2021
EMP100096,3,GDR,2021
EMP100097,2,GDR,2021
EMP100098,4,GDR,2021
EMP100099,2,GDR,2021
EMP100100,4,GDR,2021
EMP100101,5,GDR,2021
EMP100102,,GDR,2021
EMP100103,4,GDR,2021
EMP100104,,GDR,2021
EMP100105,,GDR,2021
EMP100106,4,GDR,2021
EMP100107,4,GDR,2021
EMP100108,4,GDR,2021
EMP100109,4,GDR,2021
EMP100110,2,GDR,2021
EMP100111,3,GDR,2021
EMP100112,5,GDR,2021
EMP100113,4,GDR,2021
EMP100114,,GDR,2021
EMP100115,1,GDR,2021
EMP100116,1,GDR,2021
EMP100117,4,GDR,2021
EMP100118,4,GDR,2021
EMP100119,6,GDR,2021
EMP100120,3,GDR,2021
EMP100121,4,GDR,2021
EMP100122,,GDR,2021
EMP100123,1,GDR,2021
EMP100124,4,GDR,2021
EMP100125,,GDR,2021
EMP100126,2,GDR,2021
EMP100127,3,GDR,2021
EMP100128,1,GDR,2021
EMP100129,,GDR,2021
EMP100130,4,GDR,2021
EMP100131,3,GDR,2021
EMP100132,1,GDR,2021
EMP100133,1,GDR,2021
EMP100134,2,GDR,2021
EMP100135,,GDR,2021
EMP100136,2,GDR,2021
EMP100137,,GDR,2021
EMP100138,2,GDR,2021
EMP100139,,GDR,2021
EMP100140,3,GDR,2021
EMP100141,3,GDR,2021
EMP100142,3,GDR,2021
EMP100143,,GDR,2021
EMP100144,,GDR,2021
EMP100145,3,GDR,2021
EMP100146,3,GDR,2021
EMP100147,,GDR,2021
EMP100148,99,GDR,2021
EMP100149,3,GDR,2021
EMP100150,3,GDR,2021
EMP100151,1,GDR,2021
EMP100152,4,GDR,2021
EMP100153,3,GDR,2021
EMP100154,2,GDR,2021
EMP100155,4,GDR,2021
EMP100156,2,GDR,2021
EMP100157,,GDR,2021
EMP100158,,GDR,2021
EMP100159,1,GDR,2021
EMP100160,4,GDR,2021
EMP100161,1,GDR,2021
EMP100162,4,GDR,2021
EMP100163,4,GDR,2021
EMP100164,4,GDR,2021
EMP100165,,GDR,2021
EMP100166,2,GDR,2021
EMP100167,,GDR,2021
EMP100168,3,GDR,2021
EMP100169,3,GDR,2021
EMP100170,4,GDR,2021
EMP100171,,GDR,2021
EMP100172,,GDR,2021
EMP100173,2,GDR,2021
EMP100174,1,GDR,2021
EMP100175,2,GDR,2021
EMP100176,,GDR,2021
EMP100177,,GDR,2021
EMP100178,3,GDR,2021
EMP100179,4,GDR,2021
EMP100180,1,GDR,2021
EMP100181,3,GDR,2021
EMP100182,3,GDR,2021
EMP100183,,GDR,2021
EMP100184,,GDR,2021
EMP100185,2,GDR,2021
EMP100186,4,GDR,2021
EMP100187,2,GDR,2021
EMP100188,,GDR,2021
EMP100189,3,GDR,2021
EMP100190,1,GDR,2021
EMP100191,2,GDR,2021
EMP100192,1,GDR,2021
EMP100193,4,GDR,2021
EMP100194,2,GDR,2021
EMP100195,2,GDR,2021
EMP100196,2,GDR,2021
EMP100197,,GDR,2021
EMP100198,3,GDR,2021
EMP100199,3,GDR,2021
EMP100200,3,GDR,2021
EMP100201,3,GDR,2021
EMP100202,3,GDR,2021
EMP100203,1,GDR,2021
EMP100204,4,GDR,2021
EMP100205,,GDR,2021
EMP100206,2,GDR,2021
EMP100207,5,GDR,2021
EMP100208,,GDR,2021
EMP100209,4,GDR,2021
EMP100210,5,GDR,2021
EMP100211,,GDR,2021
EMP100212,,GDR,2021
EMP100213,1,GDR,2021
EMP100214,,GDR,2021
EMP100215,4,GDR,2021
EMP100216,,GDR,2021
EMP100217,1,GDR,2021
EMP100218,5,GDR,2021
EMP100219,,GDR,2021
EMP100220,3,GDR,2021
EMP100221,,GDR,2021
EMP100222,3,GDR,2021
EMP100223,,GDR,2021
EMP100224,2,GDR,2021
EMP100225,4,GDR,2021
EMP100226,,GDR,2021
EMP100227,5,GDR,2021
EMP100228,4,GDR,2021
EMP100229,,GDR,2021
EMP100230,3,GDR,2021
EMP100231,,GDR,2021
EMP100232,2,GDR,2021
EMP100233,4,GDR,2021
EMP100234,,GDR,2021
EMP100235,,GDR,2021
EMP100236,,GDR,2021
EMP100237,3,GDR,2021
EMP100238,1,GDR,2021
EMP100239,,GDR,2021
EMP100240,,GDR,2021
EMP100241,3,GDR,2021
EMP100242,5,GDR,2021
EMP100243,3,GDR,2021
EMP100244,4,GDR,2021
EMP100245,4,GDR,2021
EMP100246,4,GDR,2021
EMP100247,4,GDR,2021
EMP100248,,GDR,2021
EMP100249,3,GDR,2021
EMP100250,5,GDR,2021
EMP100251,3,GDR,2021
EMP100252,3,GDR,2021
EMP100253,5,GDR,2021
EMP100254,3,GDR,2021
EMP100255,5,GDR,2021
EMP100256,3,GDR,2021
EMP100257,3,GDR,2021
EMP100258,,GDR,2021
EMP100259,4,GDR,2021
EMP100260,3,GDR,2021
EMP100261,3,GDR,2021
EMP100262,2,GDR,2021
EMP100263,3,GDR,2021
EMP100264,4,GDR,2021
EMP100265,,GDR,2021
EMP100266,1,GDR,2021
EMP100267,4,GDR,2021
EMP100268,2,GDR,2021
EMP100269,4,GDR,2021
EMP100270,2,GDR,2021
EMP100271,5,GDR,2021
EMP100272,1,GDR,2021
EMP100273,1,GDR,2021
EMP100274,2,GDR,2021
EMP100275,1,GDR,2021
EMP100276,3,GDR,2021
EMP100277,,GDR,2021
EMP100278,4,GDR,2021
EMP100279,3,GDR,2021
EMP100280,2,GDR,2021
EMP100281,3,GDR,2021
EMP100282,4,GDR,2021
EMP100283,2,GDR,2021
EMP100284,4,GDR,2021
EMP100285,,GDR,2021
EMP100286,2,GDR,2021
EMP100287,,GDR,2021
EMP100288,2,GDR,2021
EMP100289,,GDR,2021
EMP100290,,GDR,2021
EMP100291,,GDR,2021
EMP100292,,GDR,2021
EMP100293,3,GDR,2021
EMP100294,3,GDR,2021
EMP100295,3,GDR,2021
EMP100296,4,GDR,2021
EMP100297,2,GDR,2021
EMP100298,5,GDR,2021
EMP100299,,GDR,2021
EMP100300,4,GDR,2021
EMP100301,2,GDR,2021
EMP100302,,GDR,2021
EMP100303,2,GDR,2021
EMP100304,4,GDR,2021
EMP100305,4,GDR,2021
EMP100306,4,GDR,2021
EMP100307,1,GDR,2021
EMP100308,4,GDR,2021
EMP100309,3,GDR,2021
EMP100310,3,GDR,2021
EMP100311,4,GDR,2021
EMP100312,,GDR,2021
EMP100313,4,GDR,2021
EMP100314,,GDR,2021
EMP100315,3,GDR,2021
EMP100316,3,GDR,2021
EMP100317,1,GDR,2021
EMP100318,3,GDR,2021
EMP100319,5,GDR,2021
EMP100320,2,GDR,2021
EMP100321,3,GDR,2021
EMP100322,5,GDR,2021
EMP100323,,GDR,2021
EMP100324,,GDR,2021
EMP100325,2,GDR,2021
EMP100326,5,GDR,2021
EMP100327,,GDR,2021
EMP100328,5,GDR,2021
EMP100329,3,GDR,2021
EMP100330,,GDR,2021
EMP100331,3,GDR,2021
EMP100332,5,GDR,2021
EMP100333,4,GDR,2021
EMP100334,4,GDR,2021
EMP100335,5,GDR,2021
EMP100336,2,GDR,2021
EMP100337,3,GDR,2021
EMP100338,4,GDR,2021
EMP100339,2,GDR,2021
EMP100340,3,GDR,2021
EMP100341,3,GDR,2021
EMP100342,2,GDR,2021
EMP100343,2,GDR,2021
EMP100344,4,GDR,2021
EMP100345,,GDR,2021
EMP100346,2,GDR,2021
EMP100347,3,GDR,2021
EMP100348,5,GDR,2021
EMP100349,4,GDR,2021
EMP100350,5,GDR,2021
EMP100351,2,GDR,2021
EMP100352,,GDR,2021
EMP100353,3,GDR,2021
EMP100354,3,GDR,2021
EMP100355,3,GDR,2021
EMP100356,,GDR,2021
EMP100357,3,GDR,2021
EMP100358,4,GDR,2021
EMP100359,3,GDR,2021
EMP100360,,GDR,2021
EMP100361,4,GDR,2021
EMP100362,,GDR,2021
EMP100363,3,GDR,2021
EMP100364,3,GDR,2021
EMP100365,3,GDR,2021
EMP100366,3,GDR,2021
EMP100367,4,GDR,2021
EMP100368,5,GDR,2021
EMP100369,3,GDR,2021
EMP100370,4,GDR,2021
EMP100371,3,GDR,2021
EMP100372,,GDR,2021
EMP100373,2,GDR,2021
EMP100374,,GDR,2021
EMP100375,1,GDR,2021
EMP100376,3,GDR,2021
EMP100377,1,GDR,2021
EMP100378,,GDR,2021
EMP100379,2,GDR,2021
EMP100380,2,GDR,2021
EMP100381,4,GDR,2021
EMP100382,0,GDR,2021
EMP100383,3,GDR,2021
EMP100384,3,GDR,2021
EMP100385,3,GDR,2021
EMP100386,2,GDR,2021
EMP100387,4,GDR,2021
EMP100388,3,GDR,2021
EMP100389,3,GDR,2021
EMP100390,1,GDR,2021
EMP100391,4,GDR,2021
EMP100392,,GDR,2021
EMP100393,3,GDR,2021
EMP100394,1,GDR,2021
EMP100395,5,GDR,2021
EMP100396,4,GDR,2021
EMP100397,4,GDR,2021
EMP100398,1,GDR,2021
EMP100399,3,GDR,2021
EMP100400,2,GDR,2021
EMP100401,3,GDR,2021
EMP100402,3,GDR,2021
EMP100403,3,GDR,2021
EMP100404,3,GDR,2021
EMP100405,4,GDR,2021
EMP100406,4,GDR,2021
EMP100407,3,GDR,2021
