employee_id,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
EMP100000,86,75,SI,Steadiness-Influencer,,94,33,2
EMP100001,48,52,DS,Dominant-Steadiness,INTP,94,17,3
EMP100002,66,38,DC,Dominant-Conscientious,,109,20,3
EMP100003,39,63,SI,Steadiness-Influencer,ENTJ,85,39,3
EMP100004,75,100,,Steadiness-Conscientious,INTJ,134,21,9
EMP100005,69,35,DC,Dominant-Conscientious,,130,21,7
EMP100006,94,24,SC,Steadiness-Conscientious,ESFP,139,27,6
EMP100007,65,45,DS,Dominant-Steadiness,ESFJ,99,17,4
EMP100008,47,97,ID,Influencer-Dominant,INFP,137,23,1
EMP100009,21,84,DS,Dominant-Steadiness,ISFP,82,29,4
EMP100010,43,61,CI,Conscientious-Influencer,ESTJ,84,42,2
EMP100011,45,31,DI,Dominant-Influencer,ENFP,125,31,10
EMP100012,20,70,DS,Dominant-Steadiness,ISFJ,108,43,10
EMP100013,88,32,IC,Influencer-Conscientious,ENTP,124,33,9
EMP100014,92,54,SI,Steadiness-Influencer,ISTJ,92,24,7
EMP100015,65,77,DC,Dominant-Conscientious,ENFP,,,7
EMP100016,83,93,SI,Steadiness-Influencer,ISTP,97,34,5
EMP100017,55,80,CS,Conscientious-Steadiness,ENTJ,107,31,1
EMP100018,66,69,SC,Steadiness-Conscientious,ESFJ,,28,3
EMP100019,28,72,CD,Conscientious-Dominant,ISTP,125,23,10
EMP100020,83,83,DC,Dominant-Conscientious,ENFP,132,33,1
EMP100021,22,34,CS,Conscientious-Steadiness,INFP,,,2
EMP100022,49,94,,Influencer-Conscientious,ISTP,91,35,8
EMP100023,86,52,DC,Dominant-Conscientious,ESTJ,139,30,5
EMP100024,64,23,CD,Conscientious-Dominant,ESTP,134,23,5
EMP100025,53,71,CS,Conscientious-Steadiness,ESTJ,,34,8
EMP100026,96,37,IS,Influencer-Steadiness,ESFJ,107,32,4
EMP100027,93,76,SC,Steadiness-Conscientious,INFP,97,18,9
EMP100028,95,71,SI,Steadiness-Influencer,INFP,107,20,3
EMP100029,93,85,DC,Dominant-Conscientious,INTP,105,29,10
EMP100030,46,100,DS,Dominant-Steadiness,ESTJ,110,22,4
EMP100031,34,93,CD,Conscientious-Dominant,INTJ,103,35,3
EMP100032,29,85,DS,Dominant-Steadiness,ENTJ,,36,7
EMP100033,53,83,ID,Influencer-Dominant,ENFP,117,23,6
EMP100034,34,35,DS,Dominant-Steadiness,ENFP,116,35,5
EMP100035,84,36,DI,Dominant-Influencer,,103,28,7
EMP100036,96,81,CD,Conscientious-Dominant,ESFJ,120,28,3
EMP100037,45,41,,Conscientious-Influencer,ISTJ,,,1
EMP100038,28,51,IC,Influencer-Conscientious,ESFP,93,36,2
EMP100039,51,52,SI,Steadiness-Influencer,ISFP,125,41,9
EMP100040,55,36,ID,Influencer-Dominant,ESTP,112,24,10
EMP100041,53,32,IS,Influencer-Steadiness,ISTJ,86,25,7
EMP100042,63,43,CD,Conscientious-Dominant,ENFP,139,25,1
EMP100043,41,97,SD,Steadiness-Dominant,ESFJ,,,9
EMP100044,74,44,ID,Influencer-Dominant,ESFP,82,41,5
EMP100045,99,71,DS,Dominant-Steadiness,ISTJ,111,23,1
EMP100046,67,91,,Dominant-Conscientious,ISTJ,,,6
EMP100047,61,55,ID,Influencer-Dominant,ISTJ,110,22,1
EMP100048,37,32,SI,Steadiness-Influencer,ESFJ,125,36,1
EMP100049,94,30,DC,Dominant-Conscientious,INTP,133,27,5
EMP100050,81,54,DC,Dominant-Conscientious,,131,32,6
EMP100051,94,61,CS,Conscientious-Steadiness,INFP,110,36,7
EMP100052,69,55,IC,Influencer-Conscientious,ISTJ,126,36,10
EMP100053,97,71,IS,Influencer-Steadiness,ISFJ,140,23,5
EMP100054,23,42,SI,Steadiness-Influencer,ISTJ,88,36,8
EMP100055,50,80,DS,Dominant-Steadiness,INFJ,124,26,9
EMP100056,44,20,CI,Conscientious-Influencer,INTJ,,,5
EMP100057,39,27,IS,Influencer-Steadiness,ENTP,123,35,9
EMP100058,60,96,CS,Conscientious-Steadiness,INTJ,,,8
EMP100059,64,77,SI,Steadiness-Influencer,,92,13,9
EMP100060,46,96,CS,Conscientious-Steadiness,ENTP,,,7
EMP100061,92,22,IC,Influencer-Conscientious,ENTP,,,6
EMP100062,42,25,,Dominant-Influencer,ISTP,89,31,8
EMP100063,45,96,SC,Steadiness-Conscientious,ESFP,,,8
EMP100064,55,27,IS,Influencer-Steadiness,ESTP,96,26,4
EMP100065,22,29,CS,Conscientious-Steadiness,ISFP,90,34,10
EMP100066,54,64,CD,Conscientious-Dominant,ENTJ,84,28,10
EMP100067,40,38,SD,Steadiness-Dominant,INTJ,101,20,6
EMP100068,34,60,DI,Dominant-Influencer,INTP,,16,5
EMP100069,36,41,IC,Influencer-Conscientious,INFJ,93,36,10
EMP100070,74,38,DC,Dominant-Conscientious,ENFJ,137,36,2
EMP100071,38,52,DC,Dominant-Conscientious,ENTP,107,35,7
EMP100072,92,40,CI,Conscientious-Influencer,INFP,87,32,4
EMP100073,42,31,IC,Influencer-Conscientious,ESTJ,104,35,9
EMP100074,52,76,CI,Conscientious-Influencer,INTJ,131,25,4
EMP100075,31,78,ID,Influencer-Dominant,INTP,,,2
EMP100076,90,52,IS,Influencer-Steadiness,ESFP,80,34,4
EMP100077,79,57,CD,Conscientious-Dominant,ENFJ,135,32,1
EMP100078,99,46,SI,Steadiness-Influencer,ISTP,84,19,8
EMP100079,22,38,DS,Dominant-Steadiness,ISTJ,122,23,5
EMP100080,55,29,DC,Dominant-Conscientious,ENFJ,87,36,8
EMP100081,49,31,CS,Conscientious-Steadiness,ENFP,138,23,7
EMP100082,94,39,,Conscientious-Steadiness,INTP,133,27,6
EMP100083,50,81,CD,Conscientious-Dominant,ENTJ,99,30,2
EMP100084,56,48,SD,Steadiness-Dominant,,118,36,5
EMP100085,86,61,,Conscientious-Steadiness,ENTJ,,26,8
EMP100086,79,76,IC,Influencer-Conscientious,ISTJ,110,36,3
EMP100087,36,63,DS,Dominant-Steadiness,ENFP,109,25,2
EMP100088,29,88,CS,Conscientious-Steadiness,ISFP,83,29,5
EMP100089,97,26,CD,Conscientious-Dominant,,,,10
EMP100090,48,96,DS,Dominant-Steadiness,ESTJ,,29,1
EMP100091,36,83,DS,Dominant-Steadiness,ENFP,102,23,6
EMP100092,43,51,IC,Influencer-Conscientious,ENTJ,,,1
EMP100093,71,31,CS,Conscientious-Steadiness,ENTP,93,24,3
EMP100094,24,50,SD,Steadiness-Dominant,INFJ,95,16,6
EMP100095,66,40,SC,Steadiness-Conscientious,ISFJ,,,5
EMP100096,42,78,SI,Steadiness-Influencer,ENTJ,,20,7
EMP100097,44,76,DC,Dominant-Conscientious,INFJ,,32,2
EMP100098,37,32,ID,Influencer-Dominant,ENTJ,128,17,9
EMP100099,52,80,SC,Steadiness-Conscientious,ESTJ,,,7
EMP100100,44,56,DC,Dominant-Conscientious,,,,6
EMP100101,35,97,IC,Influencer-Conscientious,ESTJ,81,26,2
EMP100102,47,89,SI,Steadiness-Influencer,INTJ,111,19,5
EMP100103,62,73,,Influencer-Steadiness,ESTJ,105,26,2
EMP100104,80,37,DC,Dominant-Conscientious,ISTP,102,23,9
EMP100105,50,45,SC,Steadiness-Conscientious,ENFJ,,,7
EMP100106,72,49,CD,Conscientious-Dominant,ENFJ,102,29,4
EMP100107,28,59,CI,Conscientious-Influencer,ISFP,104,41,9
EMP100108,73,70,DC,Dominant-Conscientious,ISTP,129,27,5
EMP100109,90,96,DC,Dominant-Conscientious,ESFP,91,16,4
EMP100110,36,63,SD,Steadiness-Dominant,INFP,97,37,5
EMP100111,38,99,ID,Influencer-Dominant,ENFJ,83,22,8
EMP100112,88,83,,Dominant-Conscientious,ENTP,132,25,7
EMP100113,57,72,ID,Influencer-Dominant,INTJ,117,28,10
EMP100114,33,29,DI,Dominant-Influencer,INFJ,,,7
